CASEID	v3	v1	v2	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v17_jp	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27	v28	v29	v30	v31	v32	v33	v34	v35	v36	v37	v38	v39	v40	v41	v42	v43	v44	v45	v46	v47	v48	v49	v50	v51	v52	v53	v54	v55	v56	v57	v58	v59	v60	v61	v62	v63	v64	v65	v66	v67	v68	v69	v70	v71	v72	v73	v74	v75	v76	v77	v78	v79	v80	v81	v82	v83	v84	v84_tw1	v84_tw2	v84_tw3	v85	v86	v87	v88	v89	v90	v91	v92	v93	v94	v95	v96	v97	v98	v99	v100	v101	v102	v103	v104	v105	v106	v107	s1_cjt	s2_cjt	cn_frcap	jp_frcap	tw_frcap	sex	age	marital	relig	topbot	urbrural	cn_reg	jp_reg	kr_reg	tw_reg	happy	happy_kr	educyrs	degree	inschl	wrkst	fullpart	wrkhrs	empcntrt	wrktype	whynowrk	isco88	cn_rinc	jp_rinc	kr_rinc	tw_rinc	cn_rincx	jp_rincx	kr_rincx	tw_rincx	hhdnum	cn_hinc	jp_hinc	kr_hinc	tw_hinc	rltvhinc	weight	spage	spedyrs	spdegr	spinschl	spwrkst	spfullpt	spwrkhrs	spempcnt	spwktype	spnowrk	spisco88	cn_spinc	jp_spinc	kr_spinc	tw_spinc	cn_sincx	jp_sincx	kr_sincx	tw_sincx	paedyrs	padegr	maedyrs	madegr
7656	411503	2008	4	2	2	2	2	2	1	1	3	3	3	3	2	2	6	 	5	6	2	4	2	2	2	2	3	1	1	3	2	3	3	2	3	1	1	2	1	1	2	3	1	1	1	1	2	2	2	2	2	 	1	1	2	1	2	2	 	2	2	2	2	2	 	2	2	1	2	2	2	 	2	2	1	2	2	2	 	2	2	1	2	4	 	1	2	2	3	1	5	5	5	5	5	4	2	2	1	1	1	1	2	1	1	1	1	2	3	3	4	2	2	 	 	2	1	32	1	 	6	2	 	 	 	9	2	 	17	5	0	1	1	40	2	3	 	4115	 	 	 	4	 	 	 	 	5	 	 	 	8	3	.757419347763062	33	16	5	0	4	1	48	 	 	 	1230	 	 	 	4	 	 	 	 	12	3	9	2
7657	411505	2008	4	3	3	4	2	3	2	2	2	2	2	3	2	2	3	 	2	2	2	7	3	2	2	6	6	1	1	4	3	3	3	3	3	3	1	1	2	2	2	2	1	1	1	2	2	2	1	2	2	 	2	2	2	2	2	2	 	2	2	2	1	2	 	2	2	2	2	1	2	 	2	2	2	2	1	2	 	2	2	2	2	5	 	5	5	5	3	2	6	3	3	4	3	2	3	2	1	1	1	1	1	1	1	1	1	1	5	5	5	2	2	 	 	2	1	55	1	 	4	2	 	 	 	9	2	 	6	1	0	3	1	50	 	 	 	7224	 	 	 	9	 	 	 	 	5	 	 	 	9	3	.789364755153656	48	6	1	0	5	 	 	 	 	4	 	 	 	 	 	 	 	 	 	0	0	0	0
7658	411506	2008	4	4	3	3	2	3	3	1	3	3	3	3	1	1	2	 	4	2	2	7	2	2	5	7	6	2	1	4	4	4	4	2	3	4	 	 	 	 	 	1	1	2	1	2	2	2	2	1	2	 	2	1	1	2	2	2	 	2	2	2	2	1	 	2	2	2	2	2	1	 	2	2	2	2	2	1	 	2	2	2	2	5	 	5	5	4	6	1	7	2	3	5	4	4	3	1	1	2	1	1	1	1	2	1	1	2	5	5	5	2	2	 	 	2	2	50	1	 	5	2	 	 	 	9	4	 	12	3	0	4	1	72	 	 	 	8232	 	 	 	12	 	 	 	 	4	 	 	 	24	3	.833229005336761	52	14	4	0	3	1	72	 	 	 	8232	 	 	 	12	 	 	 	 	6	1	0	0
7659	411509	2008	4	2	2	2	1	2	2	2	3	2	4	4	2	2	2	 	2	2	5	6	2	2	2	6	6	2	1	4	2	4	2	2	2	4	 	 	 	 	 	4	1	2	1	2	2	2	2	2	2	 	2	2	2	2	1	2	 	1	2	2	1	2	 	1	1	1	1	1	1	 	1	1	1	1	1	2	 	1	1	1	1	4	 	4	4	4	6	1	6	6	6	6	3	4	2	3	2	1	1	1	1	1	2	1	1	1	5	5	5	2	2	 	 	2	2	45	1	 	5	3	 	 	 	9	2	 	12	3	0	2	1	49	 	 	 	5122	 	 	 	4	 	 	 	 	5	 	 	 	6	3	.961635291576385	48	12	3	0	2	1	49	 	 	 	5122	 	 	 	4	 	 	 	 	0	0	0	0
7660	411510	2008	4	3	3	3	1	1	1	1	2	2	2	2	2	2	1	 	2	1	1	2	3	1	1	3	2	2	2	3	3	3	3	3	3	3	1	1	2	2	2	3	1	2	1	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	1	2	 	1	1	1	1	1	1	 	2	2	1	1	1	1	 	2	2	1	1	5	 	5	5	5	3	1	7	3	3	6	4	5	3	2	1	1	1	1	1	1	1	1	1	1	5	5	5	2	2	 	 	2	1	57	1	 	5	1	 	 	 	9	2	 	9	2	0	2	1	60	 	 	 	7233	 	 	 	7	 	 	 	 	4	 	 	 	11	3	.86321759223938	51	6	1	0	5	 	 	 	 	4	 	 	 	 	 	 	 	 	 	6	1	6	1
7661	411511	2008	4	1	2	3	 	1	1	1	1	1	1	1	1	1	2	 	2	2	2	6	2	2	3	6	3	2	2	3	3	3	3	3	3	4	 	 	 	 	 	4	1	2	1	2	2	2	1	1	1	 	1	2	2	2	2	2	 	2	2	2	1	2	 	2	2	1	1	1	1	 	2	2	1	1	1	1	 	2	2	1	1	4	 	3	3	3	5	2	6	2	2	6	3	2	4	2	2	1	1	1	1	1	2	1	1	1	5	5	5	2	2	 	 	2	1	32	1	 	1	3	 	 	 	9	2	 	18	5	0	3	1	45	 	 	 	3471	 	 	 	5	 	 	 	 	3	 	 	 	7	3	.757419347763062	32	16	5	0	1	1	40	 	3	 	3471	 	 	 	4	 	 	 	 	6	1	0	0
7662	411512	2008	4	3	2	3	 	2	2	2	2	2	2	2	2	2	4	 	4	3	3	3	4	3	3	3	3	2	2	4	4	2	4	2	4	2	1	1	2	2	2	4	2	2	1	2	2	2	2	2	2	 	2	2	2	1	2	2	 	1	2	2	1	1	 	1	1	1	1	1	1	 	1	1	1	1	1	1	 	1	1	1	1	5	 	5	5	5	5	2	7	2	2	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	5	5	5	2	2	 	 	2	1	39	5	 	4	2	 	 	 	9	2	 	11	2	0	1	1	48	1	3	 	7224	 	 	 	5	 	 	 	 	3	 	 	 	8	2	1.05264687538147	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	2	0	0
7663	411513	2008	4	3	2	3	1	1	2	3	3	3	4	4	3	2	3	 	2	1	4	3	4	1	2	3	2	2	1	3	3	4	2	2	3	2	1	1	2	2	2	2	1	2	1	1	2	2	2	1	2	 	2	2	2	2	2	2	 	2	2	2	1	1	 	2	1	1	2	1	1	 	1	1	1	1	2	1	 	1	2	1	2	3	 	5	5	2	5	3	6	4	5	4	4	4	2	1	1	1	1	1	1	1	1	1	1	1	4	5	5	2	2	 	 	2	2	39	1	 	5	2	 	 	 	9	2	 	12	3	0	4	1	48	 	 	 	5220	 	 	 	5	 	 	 	 	4	 	 	 	8	3	1.10117614269257	43	15	4	0	2	1	48	 	 	 	3431	 	 	 	5	 	 	 	 	6	1	6	1
7664	411515	2008	4	2	3	1	 	2	1	1	3	3	4	4	1	1	6	 	6	2	2	2	2	2	5	2	2	2	2	4	3	3	3	2	2	4	 	 	 	 	 	2	1	2	1	2	2	2	1	2	1	 	1	2	1	2	2	2	 	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	4	 	4	4	4	2	6	6	2	2	6	2	2	2	2	2	2	2	1	1	2	2	1	1	2	4	4	4	2	2	 	 	2	2	35	1	 	6	2	 	 	 	9	2	 	12	3	0	1	1	48	1	3	 	4121	 	 	 	4	 	 	 	 	4	 	 	 	7	3	1.10117614269257	37	12	3	0	1	1	48	 	3	 	8281	 	 	 	4	 	 	 	 	6	1	0	0
7665	411517	2008	4	2	2	2	 	1	2	2	3	3	2	3	2	2	4	 	2	2	2	7	2	2	2	3	3	1	1	4	2	2	2	2	2	5	 	 	 	 	 	2	1	2	1	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	1	2	 	2	1	1	1	1	2	 	2	1	2	1	1	2	 	2	2	1	1	5	 	5	5	5	3	1	7	3	3	6	3	2	3	2	1	1	1	1	1	1	2	1	1	1	5	5	5	2	2	 	 	2	1	38	5	 	5	2	 	 	 	9	2	 	11	2	0	1	1	60	2	3	 	8332	 	 	 	7	 	 	 	 	8	 	 	 	15	3	1.05264687538147	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	1	6	1
